sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
038_Bacillus_subtilis_DSM10_DDA100_5352	1665	10905	1.5344304228662726	0.0	71.08816093808832	25.254155236404713	87.10666451508796	13274	5.8630004	0.020000001
040_Bacillus_thuringiensis_GBAC46_DDA100_5384	1353	7364	1.4801845632576267	0.1382455192867557	70.26022304832715	26.14622057001239	88.22026022304833	9014	5.8630004	0.020000001
042_Bacillus_thuringiensis_NMTD81_DDA100_5376	1520	7852	1.4935788052471923	0.06907589331247191	70.2631972483924	25.684163301929114	87.29624644833258	9550	5.8630004	0.020000001
043_Burkholderia_cenocepacia_ATCC25608_DDA100_6494	1643	7480	1.3776523807966279	0.0	75.05296161342258	22.311668502669267	87.61969324633505	8864	5.8630004	0.020000001
044_Bacillus_velezensis_GBSW11_DDA100_5380	1281	7922	1.456552584006215	0.09354727282804867	71.40812175092293	25.299480147668195	88.64612370978678	9557	5.8630004	0.020000001
045_Burkholderia_cepacia_DSM50181_DDA100_5284	1621	6553	1.4560639078798374	0.0	73.10365369340747	24.533359809372516	89.99205718824463	7703	5.8630004	0.018000001
046_Bacillus_velezensis_DSM23117_DDA100_5338	1242	7863	1.3997201959328331	0.08236930359636735	71.02037747199037	25.152267087750957	87.45018422437776	9572	5.8630004	0.020000001
048_Bacillus_wiedmannii_GBSC29_DDA100_5368	1618	9678	1.4836754228019737	0.06909719743840106	69.46263198253997	26.443697280717277	87.4004600955583	11925	5.8630004	0.020000001
050_Bacillus_wiedmannii_GBSC45_DDA100_5372	1407	8740	1.4918127314577592	0.0	72.22516907571939	23.683861556822702	88.49622066038987	10590	5.8630004	0.020000001
051_Campylobacter_coli_DSM4689_DDA100_5278	1167	8812	1.4705454271220413	0.06326194021236649	74.2183324425441	23.423303046499196	86.69160876536611	10665	5.8630004	0.020000001
052_Bacillus_wiedmannii_LLCG23_DDA100_5374	1559	9377	1.4460648351732082	0.09402571662884857	69.28372991907236	26.645730160647425	87.06969440753714	11578	5.8630004	0.020000001
053_Campylobacter_coli_DSM24132_DDA100_5288	1079	7474	1.3281699029534049	0.09925634171099869	83.36953688417759	14.753671040055607	90.83326092623165	8360	5.8630004	0.020000001
